"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","Georgia","Both","30-34 yrs","1981","1998","Suicide","1998","78","662467","11.77"
"Both Sexes","All Races","Georgia","Both","35-39 yrs","1981","1998","Suicide","1998","89","682035","13.05"
"Both Sexes","All Races","Georgia","Both","40-44 yrs","1981","1998","Suicide","1998","93","625020","14.88"
"Both Sexes","All Races","Georgia","Both","45-49 yrs","1981","1998","Suicide","1998","81","545139","14.86"
"Both Sexes","All Races","Georgia","Both","Ages 10 to 49","1981","1998","Suicide","1998","552","4852305","11.38"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1981","0","75027","0"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1981","7","85216","8.21"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1981","14","101999","13.73"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1981","6","97924","6.13"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1981","13","89131","14.59"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1981","8","66815","11.97"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1981","2","49379","4.05"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1981","3","43857","6.84"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1981","53","609348","8.7"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1982","2","75079","2.66"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1982","8","83247","9.61"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1982","20","99073","20.19"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1982","14","100506","13.93"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1982","14","90135","15.53"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1982","8","72920","10.97"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1982","8","51822","15.44"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1982","2","43505","4.6"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1982","76","616287","12.33"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1983","2","75006","2.67"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1983","6","80825","7.42"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1983","7","98182","7.13"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1983","16","102487","15.61"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1983","14","92639","15.11"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1983","10","76859","13.01"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1983","4","55454","7.21"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1983","6","44197","13.58"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1983","65","625649","10.39"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1984","2","74507","2.68"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1984","9","78167","11.51"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1984","19","97401","19.51"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1984","12","103924","11.55"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1984","9","94222","9.55"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1984","17","80556","21.1"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1984","9","58931","15.27"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1984","6","45130","13.29"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1984","83","632838","13.12"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1985","1","73419","1.36"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1985","6","77344","7.76"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1985","14","95737","14.62"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1985","15","103524","14.49"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1985","12","95656","12.54"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1985","4","83306","4.8"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1985","7","62442","11.21"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1985","3","46173","6.5"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1985","62","637601","9.72"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1986","0","71088","0"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1986","3","77036","3.89"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1986","14","95933","14.59"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1986","15","102298","14.66"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1986","13","97371","13.35"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1986","7","87867","7.97"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1986","10","65133","15.35"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1986","4","48010","8.33"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1986","66","644736","10.24"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1987","1","70723","1.41"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1987","7","76449","9.16"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1987","8","96097","8.32"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1987","11","101288","10.86"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1987","11","99184","11.09"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1987","13","89195","14.57"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1987","9","71478","12.59"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1987","3","50577","5.93"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1987","63","654991","9.62"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1988","1","71418","1.4"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1988","9","75553","11.91"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1988","8","93304","8.57"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1988","7","100681","6.95"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1988","19","99603","19.08"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1988","7","91311","7.67"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1988","4","75193","5.32"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1988","9","53955","16.68"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1988","64","661018","9.68"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1989","1","72604","1.38"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1989","8","74216","10.78"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1989","8","91967","8.7"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1989","16","100574","15.91"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1989","11","100052","10.99"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1989","15","93184","16.1"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1989","12","78963","15.2"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1989","7","57623","12.15"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1989","78","669183","11.66"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1990","2","73143","2.73"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1990","7","72772","9.62"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1990","19","91355","20.8"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1990","17","100529","16.91"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1990","21","101055","20.78"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1990","8","96287","8.31"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1990","7","83793","8.35"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1990","6","62145","9.65"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1990","87","681079","12.77"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1991","0","76499","0"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1991","4","73271","5.46"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1991","12","88076","13.62"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1991","16","101176","15.81"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1991","14","103380","13.54"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1991","10","98976","10.1"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1991","10","88834","11.26"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1991","10","64905","15.41"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1991","76","695117","10.93"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1992","0","79120","0"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1992","7","75420","9.28"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1992","16","85476","18.72"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1992","17","100231","16.96"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1992","24","104716","22.92"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1992","11","101198","10.87"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1992","8","89698","8.92"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1992","11","71519","15.38"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1992","94","707378","13.29"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1993","0","81864","0"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1993","6","76176","7.88"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1993","11","83785","13.13"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1993","13","97391","13.35"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1993","18","104832","17.17"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1993","14","101661","13.77"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1993","13","91472","14.21"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1993","7","74453","9.4"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1993","82","711634","11.52"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1994","2","83838","2.39"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1994","14","77414","18.08"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1994","6","82670","7.26"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1994","14","94536","14.81"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1994","13","105157","12.36"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1994","20","101877","19.63"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1994","19","93120","20.4"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1994","10","77728","12.87"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1994","98","716340","13.68"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1995","2","84721","2.36"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1995","8","78591","10.18"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1995","20","82048","24.38"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1995","4","91197","4.39"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1995","29","104039","27.87"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1995","15","101336","14.8"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1995","12","94283","12.73"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1995","13","81008","16.05"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1995","103","717223","14.36"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1996","1","84833","1.18"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1996","7","80182","8.73"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1996","11","81657","13.47"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1996","22","87804","25.06"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1996","13","101975","12.75"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1996","13","100622","12.92"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1996","10","95415","10.48"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1996","8","85275","9.38"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1996","85","717763","11.84"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1997","2","84192","2.38"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1997","4","81269","4.92"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1997","8","82681","9.68"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1997","14","85232","16.43"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1997","14","99411","14.08"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1997","22","99950","22.01"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1997","12","96668","12.41"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1997","16","86215","18.56"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1997","92","715618","12.86"
"Both Sexes","All Races","Hawaii","Both","10-14 yrs","1981","1998","Suicide","1998","1","82992","1.2"
"Both Sexes","All Races","Hawaii","Both","15-19 yrs","1981","1998","Suicide","1998","10","82039","12.19"
"Both Sexes","All Races","Hawaii","Both","20-24 yrs","1981","1998","Suicide","1998","7","83105","8.42"
"Both Sexes","All Races","Hawaii","Both","25-29 yrs","1981","1998","Suicide","1998","16","84897","18.85"
"Both Sexes","All Races","Hawaii","Both","30-34 yrs","1981","1998","Suicide","1998","11","95834","11.48"
"Both Sexes","All Races","Hawaii","Both","35-39 yrs","1981","1998","Suicide","1998","10","99440","10.06"
"Both Sexes","All Races","Hawaii","Both","40-44 yrs","1981","1998","Suicide","1998","17","96769","17.57"
"Both Sexes","All Races","Hawaii","Both","45-49 yrs","1981","1998","Suicide","1998","5","88110","5.67"
"Both Sexes","All Races","Hawaii","Both","Ages 10 to 49","1981","1998","Suicide","1998","77","713186","10.8"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1981","2","81650","2.45"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1981","14","84812","16.51"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1981","18","86532","20.8"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1981","21","83135","25.26"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1981","11","77789","14.14"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1981","8","59053","13.55"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1981","8","48781","16.4"
"Both Sexes","All Races","Idaho","Both","45-49 yrs","1981","1998","Suicide","1981","11","41435","26.55"
"Both Sexes","All Races","Idaho","Both","Ages 10 to 49","1981","1998","Suicide","1981","93","563187","16.51"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1982","1","82522","1.21"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1982","9","82075","10.97"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1982","14","85652","16.35"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1982","9","82883","10.86"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1982","14","77988","17.95"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1982","9","63727","14.12"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1982","11","50591","21.74"
"Both Sexes","All Races","Idaho","Both","45-49 yrs","1981","1998","Suicide","1982","13","42220","30.79"
"Both Sexes","All Races","Idaho","Both","Ages 10 to 49","1981","1998","Suicide","1982","80","567658","14.09"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1983","4","82376","4.86"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1983","9","79927","11.26"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1983","17","84489","20.12"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1983","22","82259","26.74"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1983","16","79432","20.14"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1983","14","65986","21.22"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1983","9","53452","16.84"
"Both Sexes","All Races","Idaho","Both","45-49 yrs","1981","1998","Suicide","1983","15","43550","34.44"
"Both Sexes","All Races","Idaho","Both","Ages 10 to 49","1981","1998","Suicide","1983","106","571471","18.55"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1984","2","82394","2.43"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1984","14","79051","17.71"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1984","24","82747","29"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1984","8","81588","9.81"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1984","20","80790","24.76"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1984","15","69092","21.71"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1984","10","55805","17.92"
"Both Sexes","All Races","Idaho","Both","45-49 yrs","1981","1998","Suicide","1984","12","45067","26.63"
"Both Sexes","All Races","Idaho","Both","Ages 10 to 49","1981","1998","Suicide","1984","105","576534","18.21"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1985","5","82070","6.09"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1985","9","78932","11.4"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1985","17","79709","21.33"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1985","12","80660","14.88"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1985","15","81606","18.38"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1985","9","72001","12.5"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1985","6","57393","10.45"
"Both Sexes","All Races","Idaho","Both","45-49 yrs","1981","1998","Suicide","1985","10","46193","21.65"
"Both Sexes","All Races","Idaho","Both","Ages 10 to 49","1981","1998","Suicide","1985","83","578564","14.35"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1986","2","80660","2.48"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1986","11","79554","13.83"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1986","26","75002","34.67"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1986","14","79514","17.61"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1986","12","81362","14.75"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1986","16","75371","21.23"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1986","11","57702","19.06"
"Both Sexes","All Races","Idaho","Both","45-49 yrs","1981","1998","Suicide","1986","15","47097","31.85"
"Both Sexes","All Races","Idaho","Both","Ages 10 to 49","1981","1998","Suicide","1986","107","576262","18.57"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1987","3","81519","3.68"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1987","10","79038","12.65"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1987","23","70569","32.59"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1987","21","77663","27.04"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1987","18","80862","22.26"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1987","10","75072","13.32"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1987","13","61450","21.16"
"Both Sexes","All Races","Idaho","Both","45-49 yrs","1981","1998","Suicide","1987","12","48093","24.95"
"Both Sexes","All Races","Idaho","Both","Ages 10 to 49","1981","1998","Suicide","1987","110","574266","19.15"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1988","2","83530","2.39"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1988","13","78903","16.48"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1988","18","67375","26.72"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1988","13","75531","17.21"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1988","19","80325","23.65"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1988","8","76348","10.48"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1988","13","63279","20.54"
"Both Sexes","All Races","Idaho","Both","45-49 yrs","1981","1998","Suicide","1988","15","50422","29.75"
"Both Sexes","All Races","Idaho","Both","Ages 10 to 49","1981","1998","Suicide","1988","101","575713","17.54"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1989","5","87146","5.74"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1989","17","79402","21.41"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1989","18","65805","27.35"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1989","13","73539","17.68"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1989","12","80209","14.96"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1989","18","77875","23.11"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1989","13","66237","19.63"
"Both Sexes","All Races","Idaho","Both","45-49 yrs","1981","1998","Suicide","1989","5","52460","9.53"
"Both Sexes","All Races","Idaho","Both","Ages 10 to 49","1981","1998","Suicide","1989","101","582673","17.33"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1990","11","91478","12.02"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1990","16","81373","19.66"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1990","19","66319","28.65"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1990","10","71141","14.06"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1990","20","80618","24.81"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1990","23","79796","28.82"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1990","7","70218","9.97"
"Both Sexes","All Races","Idaho","Both","45-49 yrs","1981","1998","Suicide","1990","9","54188","16.61"
"Both Sexes","All Races","Idaho","Both","Ages 10 to 49","1981","1998","Suicide","1990","115","595131","19.32"
"Both Sexes","All Races","Idaho","Both","10-14 yrs","1981","1998","Suicide","1991","3","94379","3.18"
"Both Sexes","All Races","Idaho","Both","15-19 yrs","1981","1998","Suicide","1991","12","83804","14.32"
"Both Sexes","All Races","Idaho","Both","20-24 yrs","1981","1998","Suicide","1991","23","70189","32.77"
"Both Sexes","All Races","Idaho","Both","25-29 yrs","1981","1998","Suicide","1991","9","69657","12.92"
"Both Sexes","All Races","Idaho","Both","30-34 yrs","1981","1998","Suicide","1991","13","83092","15.65"
"Both Sexes","All Races","Idaho","Both","35-39 yrs","1981","1998","Suicide","1991","14","84280","16.61"
"Both Sexes","All Races","Idaho","Both","40-44 yrs","1981","1998","Suicide","1991","12","76737","15.64"
