"Notes"	"Census Region"	"Census Region Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"15-24 years"	"15-24"	52	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"25-34 years"	"25-34"	91	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"35-44 years"	"35-44"	92	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"45-54 years"	"45-54"	100	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"55-64 years"	"55-64"	105	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"65-74 years"	"65-74"	52	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"75-84 years"	"75-84"	35	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Jul., 2019"	"2019/07"			548	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"15-24 years"	"15-24"	39	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"25-34 years"	"25-34"	82	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"35-44 years"	"35-44"	78	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"45-54 years"	"45-54"	94	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"55-64 years"	"55-64"	111	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"65-74 years"	"65-74"	59	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"75-84 years"	"75-84"	31	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Aug., 2019"	"2019/08"	"85+ years"	"85+"	16	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Aug., 2019"	"2019/08"			514	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"15-24 years"	"15-24"	55	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"25-34 years"	"25-34"	91	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"35-44 years"	"35-44"	83	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"45-54 years"	"45-54"	88	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"55-64 years"	"55-64"	95	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"65-74 years"	"65-74"	56	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Sep., 2019"	"2019/09"	"75-84 years"	"75-84"	33	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Sep., 2019"	"2019/09"			516	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"15-24 years"	"15-24"	74	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"25-34 years"	"25-34"	94	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"35-44 years"	"35-44"	73	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"45-54 years"	"45-54"	91	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"55-64 years"	"55-64"	101	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"65-74 years"	"65-74"	50	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"75-84 years"	"75-84"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Oct., 2019"	"2019/10"	"85+ years"	"85+"	22	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Oct., 2019"	"2019/10"			545	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"15-24 years"	"15-24"	61	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"25-34 years"	"25-34"	73	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"35-44 years"	"35-44"	74	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"45-54 years"	"45-54"	107	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"55-64 years"	"55-64"	110	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"65-74 years"	"65-74"	58	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Nov., 2019"	"2019/11"	"75-84 years"	"75-84"	35	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Nov., 2019"	"2019/11"			531	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"15-24 years"	"15-24"	58	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"25-34 years"	"25-34"	83	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"35-44 years"	"35-44"	62	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"45-54 years"	"45-54"	98	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"55-64 years"	"55-64"	95	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"65-74 years"	"65-74"	51	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"75-84 years"	"75-84"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Dec., 2019"	"2019/12"	"85+ years"	"85+"	19	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"Dec., 2019"	"2019/12"			496	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"					6205	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"							108838	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"15-24 years"	"15-24"	89	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"25-34 years"	"25-34"	95	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"35-44 years"	"35-44"	127	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"45-54 years"	"45-54"	63	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"55-64 years"	"55-64"	43	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	35	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	35	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	18	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jan., 1999"	"1999/01"			512	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"15-24 years"	"15-24"	83	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"25-34 years"	"25-34"	86	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"35-44 years"	"35-44"	121	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"45-54 years"	"45-54"	78	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"55-64 years"	"55-64"	53	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	48	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	33	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	22	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Feb., 1999"	"1999/02"			533	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"15-24 years"	"15-24"	102	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"25-34 years"	"25-34"	105	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"35-44 years"	"35-44"	112	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"45-54 years"	"45-54"	90	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"55-64 years"	"55-64"	47	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"65-74 years"	"65-74"	49	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	36	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Mar., 1999"	"1999/03"			566	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"15-24 years"	"15-24"	77	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"25-34 years"	"25-34"	102	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"35-44 years"	"35-44"	136	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"45-54 years"	"45-54"	95	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"55-64 years"	"55-64"	50	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"65-74 years"	"65-74"	36	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"75-84 years"	"75-84"	34	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Apr., 1999"	"1999/04"			553	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"May, 1999"	"1999/05"	"5-14 years"	"5-14"	10	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"May, 1999"	"1999/05"	"15-24 years"	"15-24"	76	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"May, 1999"	"1999/05"	"25-34 years"	"25-34"	96	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"May, 1999"	"1999/05"	"35-44 years"	"35-44"	112	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"May, 1999"	"1999/05"	"45-54 years"	"45-54"	111	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"May, 1999"	"1999/05"	"55-64 years"	"55-64"	55	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"May, 1999"	"1999/05"	"65-74 years"	"65-74"	39	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"May, 1999"	"1999/05"	"75-84 years"	"75-84"	37	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"May, 1999"	"1999/05"	"85+ years"	"85+"	16	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"May, 1999"	"1999/05"			552	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"15-24 years"	"15-24"	77	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"25-34 years"	"25-34"	94	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"35-44 years"	"35-44"	114	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"45-54 years"	"45-54"	109	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"55-64 years"	"55-64"	61	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"65-74 years"	"65-74"	48	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"75-84 years"	"75-84"	49	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jun., 1999"	"1999/06"			565	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"15-24 years"	"15-24"	87	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"25-34 years"	"25-34"	100	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"35-44 years"	"35-44"	108	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"45-54 years"	"45-54"	81	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"55-64 years"	"55-64"	47	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"65-74 years"	"65-74"	41	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"75-84 years"	"75-84"	40	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"85+ years"	"85+"	19	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Jul., 1999"	"1999/07"			527	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"15-24 years"	"15-24"	76	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"25-34 years"	"25-34"	94	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"35-44 years"	"35-44"	137	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"45-54 years"	"45-54"	75	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"55-64 years"	"55-64"	56	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"65-74 years"	"65-74"	44	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"75-84 years"	"75-84"	39	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Aug., 1999"	"1999/08"			535	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"15-24 years"	"15-24"	71	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"25-34 years"	"25-34"	76	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"35-44 years"	"35-44"	125	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"45-54 years"	"45-54"	80	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"55-64 years"	"55-64"	42	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"65-74 years"	"65-74"	44	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"75-84 years"	"75-84"	37	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Sep., 1999"	"1999/09"			491	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"15-24 years"	"15-24"	84	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"25-34 years"	"25-34"	98	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"35-44 years"	"35-44"	104	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"45-54 years"	"45-54"	96	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"55-64 years"	"55-64"	45	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"65-74 years"	"65-74"	39	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"75-84 years"	"75-84"	42	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Oct., 1999"	"1999/10"			531	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"15-24 years"	"15-24"	99	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"25-34 years"	"25-34"	90	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"35-44 years"	"35-44"	115	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"45-54 years"	"45-54"	113	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"55-64 years"	"55-64"	44	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"65-74 years"	"65-74"	39	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"75-84 years"	"75-84"	39	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Nov., 1999"	"1999/11"			553	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"15-24 years"	"15-24"	76	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"25-34 years"	"25-34"	97	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"35-44 years"	"35-44"	122	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"45-54 years"	"45-54"	70	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"55-64 years"	"55-64"	47	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"65-74 years"	"65-74"	30	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"75-84 years"	"75-84"	37	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"	"Dec., 1999"	"1999/12"			493	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"1999"	"1999"					6411	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"15-24 years"	"15-24"	95	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"25-34 years"	"25-34"	103	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"35-44 years"	"35-44"	119	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"45-54 years"	"45-54"	117	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"55-64 years"	"55-64"	53	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"65-74 years"	"65-74"	43	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	38	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Jan., 2000"	"2000/01"			591	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"15-24 years"	"15-24"	78	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"25-34 years"	"25-34"	97	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"35-44 years"	"35-44"	120	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"45-54 years"	"45-54"	90	Not Applicable	Not Applicable
